PUID_SIX,ACADEMIC_PERIOD,TRANSFER_COURSE_INSTITUTION,TRANSFER_COURSE_INST_DESC,COURSE_IDENTIFICATION,COURSE_TITLE_SHORT,TRANSFER_COURSE_IND,CREDITS_EARNED
143847,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
143847,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus BC,Y,3
143847,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (Mechanics),Y,3
143847,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
143909,,,,,,,
143931,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
143969,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
143969,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus,Y,4
143969,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus BC,Y,3
144136,,,,,,,
144163,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
144165,,,,,,,
144199,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
144213,,,,,,,
144273,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
144296,,,,,,,
144508,,,,,,,
144524,,,,,,,
144655,,,,,,,
144688,,,,,,,
144870,,,,,,,
144880,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
144950,,,,,,,
145036,,,,,,,
145096,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
